date,platform,q_num,q_text,title,domain,url,position,target,source_type,grade,quality,in_source,origin
20260624,豆包,问题2,推荐好的ITIL培训机构,91goodschool.com,91goodschool.com,https://m.91goodschool.com/school/resume/10099.html,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260626,Kimi,问题2,推荐好的ITIL培训机构,91goodschool.com,91goodschool.com,https://m.91goodschool.com/kc-bj-itil/,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260627,Kimi,问题2,推荐好的ITIL培训机构,91goodschool.com,91goodschool.com,https://m.91goodschool.com/kc-bj-itil/,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260624,DeepSeek,问题2,推荐好的ITIL培训机构,PeopleCert ITIL 認證課程與 IT 服務管理培訓 AI Network-全智網科技,ainetwork-training.com,https://ainetwork-training.com/peoplecert_intro/,追加追问第 1 轮,全智網 (AI Network),,A,强断言相关来源,,markdown_table
20260624,DeepSeek,问题2,推荐好的ITIL培训机构,原廠授權教育訓練中心｜資安・雲端・網路國際認證,ainetwork-training.com,https://ainetwork-training.com/atp/,追加追问第 1 轮,全智網 (AI Network),,A,其他来源,,markdown_table
20260701,DeepSeek,问题2,推荐好的ITIL培训机构,PeopleCert 介绍页,ainetwork-training.com,https://ainetwork-training.com/peoplecert_intro/,原始回答脚注,全智網科技 / PeopleCert背景,授权/认证背书,A,强断言相关来源,在源中可见,markdown_table
20260626,豆包,问题2,推荐好的ITIL培训机构,apmg-international.com,apmg-international.com,https://apmg-international.com,json.followup_response.links,,,A,其他来源,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,https://apmg-international.com/zh-hans/help-support/become-training-organization,apmg-international.com,https://apmg-international.com/zh-hans/help-support/become-training-organization,json.followup_response.links,,,A,其他来源,,json_link
20260624,豆包,问题2,推荐好的ITIL培训机构,aqzpedu.com,aqzpedu.com,http://www.aqzpedu.com,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260626,腾讯元宝,问题1,推荐好的ITIL讲师,杨老师,aqzpedu.com,,json.response.source_blocks,,,B,机构官网/课程页,,json_source_block
20260626,腾讯元宝,问题1,推荐好的ITIL讲师,m.aqzpedu.com,aqzpedu.com,,json.response.source_blocks,,,B,机构官网/课程页,,json_source_block
20260626,腾讯元宝,问题2,推荐好的ITIL培训机构,"ITIL 4 Foundation认证培训全球认可,线上随学随考 - 中培动态 - 中培IT学院",aqzpedu.com,,json.response.source_blocks,,,B,机构官网/课程页,,json_source_block
20260626,腾讯元宝,问题2,推荐好的ITIL培训机构,m.aqzpedu.com,aqzpedu.com,,json.response.source_blocks,,,B,机构官网/课程页,,json_source_block
20260626,豆包,问题2,推荐好的ITIL培训机构,aqzpedu.com,aqzpedu.com,https://aqzpedu.com,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,https://m.aqzpedu.com/about/,aqzpedu.com,https://m.aqzpedu.com/about/,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260627,腾讯元宝,问题1,推荐好的ITIL讲师,杨老师,aqzpedu.com,,json.response.source_blocks,,,B,机构官网/课程页,,json_source_block
20260627,腾讯元宝,问题1,推荐好的ITIL讲师,m.aqzpedu.com,aqzpedu.com,,json.response.source_blocks,,,B,机构官网/课程页,,json_source_block
20260627,豆包,问题2,推荐好的ITIL培训机构,aqzpedu.com,aqzpedu.com,https://aqzpedu.com,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260627,豆包,问题2,推荐好的ITIL培训机构,https://m.aqzpedu.com/about/,aqzpedu.com,https://m.aqzpedu.com/about/,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260627,豆包,问题2,推荐好的ITIL培训机构,http://www.aqzpedu.com,aqzpedu.com,http://www.aqzpedu.com,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260701,豆包,问题2,推荐好的ITIL培训机构,北京中培伟业管理咨询有限公司_公司简介 - 中培 IT 学院,aqzpedu.com,https://m.aqzpedu.com/about/,追加追问,中培 IT 学院,机构推荐佐证,A,机构官网/课程页,在源中可见,markdown_table
20260624,豆包,问题2,推荐好的ITIL培训机构,avtechcn.cn,avtechcn.cn,http://www.avtechcn.cn/course/itil/,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260626,Kimi,问题1,推荐好的ITIL讲师,https://www.avtechcn.cn/peixun/ITIL/ITIL-4-Foundation/,avtechcn.cn,https://www.avtechcn.cn/peixun/ITIL/ITIL-4-Foundation/,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260627,Kimi,问题1,推荐好的ITIL讲师,avtechcn.cn,avtechcn.cn,https://www.avtechcn.cn/teacher/318.html,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260701,豆包,问题2,推荐好的ITIL培训机构,avtechcn.cn,avtechcn.cn,http://www.avtechcn.cn/,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260624,DeepSeek,问题1,推荐好的ITIL讲师,艾威的ITIL4授课老师专业吗？有什么特色？,avtechcn.com,http://www.avtechcn.com/itil/itilknowledgefaq/27874.html,追加追问第 1 轮,吴老师（艾威培训）,,A,机构官网/课程页,,markdown_table
20260624,DeepSeek,问题1,推荐好的ITIL讲师,艾威的ITIL4授课老师专业吗？有什么特色？（重复来源，不同页面片段）,avtechcn.com,https://www.avtechcn.com/itil/itilknowledgefaq/27874.html,追加追问第 1 轮,吴老师（艾威培训）,,A,机构官网/课程页,,markdown_table
20260624,DeepSeek,问题2,推荐好的ITIL培训机构,喜报！艾威通过PeopleCert官方认证更新，持续获批ITIL®5 ATO授权,avtechcn.com,https://www.avtechcn.com/infos/company-news/28089.html,追加追问第 1 轮,艾威 (Avtech),,A,机构官网/课程页,,markdown_table
20260624,DeepSeek,问题2,推荐好的ITIL培训机构,艾威 ITIL Foundation (Version 5) 直播班圆满落幕,avtechcn.com,https://www.avtechcn.com/itil/28215.html,追加追问第 1 轮,艾威 (Avtech),,A,机构官网/课程页,,markdown_table
20260624,DeepSeek,问题2,推荐好的ITIL培训机构,课程中心_职业认证_IT技术_企业内训课程,avtechcn.com,http://www.avtechcn.com/courses,追加追问第 1 轮,艾威 (Avtech),,A,机构官网/课程页,,markdown_table
20260624,Kimi,问题1,推荐好的ITIL讲师,艾威培训ITIL 4 培训，ITIL 4 认证培训，ITIL 培训，ITIL 认证培训，ITIL 4 Foundation 培训,avtechcn.com,https://www.avtechcn.com/itil4/,追加追问第1轮,艾威培训（艾威老师）,,A,机构官网/课程页,,markdown_table
20260624,Kimi,问题1,推荐好的ITIL讲师,ITIL® 4 Foundation认证培训（含考试）- 艾威培训,avtechcn.com,https://www.avtechcn.com/itil4-foundation/,追加追问第1轮,艾威培训,,A,机构官网/课程页,,markdown_table
20260624,豆包,问题1,推荐好的ITIL讲师,avtechcn.com,avtechcn.com,https://www.avtechcn.com/corporate-training-case/11141.html,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260624,豆包,问题1,推荐好的ITIL讲师,avtechcn.com,avtechcn.com,https://www.avtechcn.com/itil/itilknowledgefaq/27874.html,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260624,豆包,问题2,推荐好的ITIL培训机构,avtechcn.com,avtechcn.com,https://www.avtechcn.com/about-us,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260624,豆包,问题2,推荐好的ITIL培训机构,avtechcn.com,avtechcn.com,https://www.avtechcn.com/infos/company-news,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260624,豆包,问题2,推荐好的ITIL培训机构,avtechcn.com,avtechcn.com,https://www.avtechcn.com/infos/company-news/28089.html,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260626,Kimi,问题1,推荐好的ITIL讲师,avtechcn.com,avtechcn.com,https://www.avtechcn.com/itil/itilknowledgefaq/1174.html,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260626,豆包,问题2,推荐好的ITIL培训机构,avtechcn.com,avtechcn.com,https://avtechcn.com,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,https://www.avtechcn.com/infos/company-news/28089.html,avtechcn.com,https://www.avtechcn.com/infos/company-news/28089.html,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,https://www.avtechcn.com/about-us,avtechcn.com,https://www.avtechcn.com/about-us,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,https://www.avtechcn.com/html/all-itil4,avtechcn.com,https://www.avtechcn.com/html/all-itil4,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,https://www.avtechcn.com/itil,avtechcn.com,https://www.avtechcn.com/itil,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260627,千问,问题2,推荐好的ITIL培训机构,ITIL认证的报名方式和申请流程是什么 - 艾威培训官网,avtechcn.com,https://www.avtechcn.com/news/2883.html,追加追问,艾威培训,机构推荐佐证,A,机构官网/课程页,在源中可见,markdown_table
20260627,豆包,问题2,推荐好的ITIL培训机构,avtechcn.com,avtechcn.com,https://avtechcn.com,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260627,豆包,问题2,推荐好的ITIL培训机构,https://www.avtechcn.com/infos/company-news/28089.html,avtechcn.com,https://www.avtechcn.com/infos/company-news/28089.html,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260627,豆包,问题2,推荐好的ITIL培训机构,https://www.avtechcn.com/about-us,avtechcn.com,https://www.avtechcn.com/about-us,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260627,豆包,问题2,推荐好的ITIL培训机构,https://www.avtechcn.com/itil,avtechcn.com,https://www.avtechcn.com/itil,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260627,豆包,问题2,推荐好的ITIL培训机构,https://www.avtechcn.com/corporate-training-case/27527.html,avtechcn.com,https://www.avtechcn.com/corporate-training-case/27527.html,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260627,豆包,问题2,推荐好的ITIL培训机构,https://www.avtechcn.com/corporate-training-case/27379.html,avtechcn.com,https://www.avtechcn.com/corporate-training-case/27379.html,json.followup_response.links,,,A,机构官网/课程页,,json_link
20260701,豆包,问题2,推荐好的ITIL培训机构,关于我们 - 艾威培训官网,avtechcn.com,https://www.avtechcn.com/about-us,追加追问,艾威培训,机构推荐佐证,A,机构官网/课程页,在源中可见,markdown_table
20260701,豆包,问题2,推荐好的ITIL培训机构,PRINCE2 (第 7 版) 成功项目管理认证 - 艾威培训官网,avtechcn.com,https://www.avtechcn.com/prince2,追加追问,艾威培训,授权/认证背书,A,机构官网/课程页,在源中可见,markdown_table
20260624,豆包,问题2,推荐好的ITIL培训机构,axelos.com,axelos.com,https://www.axelos.com/,正文/原始回答可见 URL,,,A,官方/认证体系,,markdown_inline_url
20260701,Kimi,问题2,推荐好的ITIL培训机构,AXELOS官网,axelos.com,https://www.axelos.com/,原始回答 DOM 链接,ATO / 授权认证背景,授权/认证背书,A,官方/认证体系,在源中可见,markdown_table
20260701,豆包,问题2,推荐好的ITIL培训机构,Axelos best practice certifications,axelos.com,https://www.axelos.com/certifications,追加追问,通用判断标准,授权/认证背书,A,官方/认证体系,在源中可见,markdown_table
20260701,DeepSeek,问题1,推荐好的ITIL讲师,百度百科词条,baidu.com,,追加追问,隋继周,第三方口碑/背景,B,百科/搜索生态,在源中可见,markdown_table
20260701,智谱清言,问题1,推荐好的ITIL讲师,原始回答域名片段：baidu.com,baidu.com,,原始回答直接可见,梁育刚,第三方口碑/背景,B,百科/搜索生态,在源中可见,markdown_table
20260624,DeepSeek,问题1,推荐好的ITIL讲师,李远佳_百度百科,baike.baidu.com,https://baike.baidu.com/item/%e6%9d%8e%e8%bf%9c%e4%bd%b3/9300862,追加追问第 1 轮,李远佳,,A,百科/搜索生态,,markdown_table
20260624,DeepSeek,问题1,推荐好的ITIL讲师,梁育刚_百度百科,baike.baidu.com,https://baike.baidu.com/item/%E6%A2%81%E8%82%B2%E5%88%9A/5686902,追加追问第 1 轮,梁育刚,,A,百科/搜索生态,,markdown_table
20260624,DeepSeek,问题1,推荐好的ITIL讲师,隋继周_百度百科,baike.baidu.com,https://baike.baidu.com/item/%E9%9A%8B%E7%BB%A7%E5%91%A8,追加追问第 1 轮,隋继周,,A,百科/搜索生态,,markdown_table
20260624,DeepSeek,问题1,推荐好的ITIL讲师,吴杰_百度百科,baike.baidu.com,https://baike.baidu.com/item/%E5%90%B4%E6%9D%B0/9472118,追加追问第 1 轮,吴杰（未直接推荐，行业背景参考）,,A,百科/搜索生态,,markdown_table
20260624,DeepSeek,问题1,推荐好的ITIL讲师,baike.baidu.com,baike.baidu.com,https://baike.baidu.com/item/%E6%A2%81%E8%82%B2%E5%88%9A/5686902（追问页面一处显示为“梁色刚”编码,正文/原始回答可见 URL,,,A,百科/搜索生态,,markdown_inline_url
20260624,DeepSeek,问题2,推荐好的ITIL培训机构,惠普IT管理学院,baike.baidu.com,https://baike.baidu.com/item/惠普IT管理学院/5878152,追加追问第 1 轮,惠普IT管理学院,,A,百科/搜索生态,,markdown_table
20260627,千问,问题2,推荐好的ITIL培训机构,上海清晖管理咨询有限公司_百度百科,baike.baidu.com,https://baike.baidu.com/item/上海清晖管理咨询有限公司,追加追问,清晖项目管理培训,第三方口碑/背景,A,百科/搜索生态,在源中可见,markdown_table
20260701,DeepSeek,问题2,推荐好的ITIL培训机构,惠普IT管理学院,baike.baidu.com,https://baike.baidu.com/item/%E6%83%A0%E6%99%AEIT%E7%AE%A1%E7%90%86%E5%AD%A6%E9%99%A2/5878152?noadapt=1,原始回答脚注,惠普IT管理学院,第三方口碑/背景,A,百科/搜索生态,在源中可见,markdown_table
20260701,DeepSeek,问题2,推荐好的ITIL培训机构,腾科IT教育集团,baike.baidu.com,https://baike.baidu.com/item/%E8%85%BE%E7%A7%91IT%E6%95%99%E8%82%B2%E9%9B%86%E5%9B%A2/90748?svcp_stk=1_vy6dSeFsdJSXLCkhStqVlbCqApTRKH-k8k0mT6-VF55KZhZDFUMO-U2PAU58wOn2396GfXswPhYFe4UeXpUoRc92VYddDuA8_xrpbmqUTg6qfI39iXvXDYvKehaOrcTzS_27TUxcDFr6CECNfAIE9Jpq9D-Mzu4ub3bYtgkq3Hd0n2hf_l4G6E-10w03-_BO,原始回答脚注,腾科IT教育集团,第三方口碑/背景,A,百科/搜索生态,在源中可见,markdown_table
20260701,DeepSeek,问题2,推荐好的ITIL培训机构,深圳市弘博创新管理咨询有限公司,baike.baidu.com,https://baike.baidu.com/item/%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%BC%98%E5%8D%9A%E5%88%9B%E6%96%B0%E7%AE%A1%E7%90%86%E5%92%A8%E8%AF%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/14909543,原始回答脚注,弘博创新,第三方口碑/背景,A,百科/搜索生态,在源中可见,markdown_table
20260624,Kimi,问题1,推荐好的ITIL讲师,谷安天下-华南区ITIL V3 Foundation培训推出团购活动！价格最低，培训质量最优，讲师-『 深圳 培训机构』,bbs.hh010.com,https://bbs.hh010.com/thread-163691-1-1.html,原始回答链接/引用面板,谷安天下,,A,问答/论坛/博客,,markdown_table
20260624,豆包,问题2,推荐好的ITIL培训机构,bbs.hh010.com,bbs.hh010.com,https://bbs.hh010.com/thread-373245-1-1.html,正文/原始回答可见 URL,,,A,问答/论坛/博客,,markdown_inline_url
20260626,智谱清言,问题1,推荐好的ITIL讲师,京ICP备20011824号-18,beian.miit.gov.cn,https://beian.miit.gov.cn/,,,,A,其他来源,,markdown_table
20260701,智谱清言,问题2,推荐好的ITIL培训机构,原始回答域名片段：bilibili.com +1 / sohu.com +1,bilibili.com,,原始回答直接可见,深圳艾拓先锋,机构推荐佐证,B,其他来源,在源中可见,markdown_table
20260624,豆包,问题1,推荐好的ITIL讲师,blog.csdn.net,blog.csdn.net,https://blog.csdn.net/weixin_46959162/article/details/147333253,正文/原始回答可见 URL,,,A,问答/论坛/博客,,markdown_inline_url
20260626,Kimi,问题1,推荐好的ITIL讲师,blog.csdn.net,blog.csdn.net,https://blog.csdn.net/weixin_46959162/article/details/144332254,正文/原始回答可见 URL,,,A,问答/论坛/博客,,markdown_inline_url
20260627,Kimi,问题1,推荐好的ITIL讲师,blog.csdn.net,blog.csdn.net,https://blog.csdn.net/weixin_46959162/article/details/144332254,正文/原始回答可见 URL,,,A,问答/论坛/博客,,markdown_inline_url
20260701,腾讯元宝,问题1,推荐好的ITIL讲师,喜报丨恭贺雅菲奥朗刘峰老师荣获PeopleCert"ITIL和SRE官方大使"及"杰出授课讲师"殊荣,blog.csdn.net,https://blog.csdn.net/weixin_46959162/article/details/144332254,追加追问,刘峰,讲师推荐佐证,A,问答/论坛/博客,在源中可见,markdown_table
20260701,豆包,问题1,推荐好的ITIL讲师,ITIL4 Overview,bmcsoftware.com,,追加追问,全体讲师资质筛选标准,背景资料,B,其他来源,在源中可见,markdown_table
20260627,智谱清言,问题1,推荐好的ITIL讲师,book118.com,book118.com,,原始回答直接可见,刘通,讲师推荐佐证,B,其他来源,在源中可见,markdown_table
20260624,豆包,问题2,推荐好的ITIL培训机构,canway.net,canway.net,https://www.canway.net/about,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260624,DeepSeek,问题1,推荐好的ITIL讲师,培训认证（云安全联盟大中华区讲师页）,c-csa.cn,https://www.c-csa.cn/mobile/training/teacher/page-5,追加追问第 1 轮,刘通（未直接推荐，补充参考）,,A,其他来源,,markdown_table
20260624,豆包,问题2,推荐好的ITIL培训机构,ceprei.com,ceprei.com,https://www.ceprei.com/contents/241/18449.html,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260624,豆包,问题2,推荐好的ITIL培训机构,ceprei.org,ceprei.org,https://www.ceprei.org/h5/service/trainingservice/informationtechnology/,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260624,豆包,问题2,推荐好的ITIL培训机构,ceprei.org,ceprei.org,https://www.ceprei.org/h5/service/trainingservice/informationtechnology/612093224960069.shtml,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260624,豆包,问题1,推荐好的ITIL讲师,changeway.com.cn,changeway.com.cn,https://changeway.com.cn/news/5344.html,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260624,豆包,问题1,推荐好的ITIL讲师,changeway.com.cn,changeway.com.cn,https://www.changeway.com.cn/index.php?c=article&id=3737,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260624,豆包,问题1,推荐好的ITIL讲师,changeway.com.cn,changeway.com.cn,https://www.changeway.com.cn/prince2/index.html,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260626,豆包,问题2,推荐好的ITIL培训机构,changeway.com.cn,changeway.com.cn,https://changeway.com.cn,json.followup_response.links,,,A,其他来源,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,http://m.changeway.com.cn/index.php?a=type&c=article&tid=130,changeway.com.cn,http://m.changeway.com.cn/index.php?a=type&c=article&tid=130,json.followup_response.links,,,A,其他来源,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,https://www.changeway.com.cn/?mod=viewthread&tid=2820,changeway.com.cn,https://www.changeway.com.cn/?mod=viewthread&tid=2820,json.followup_response.links,,,A,其他来源,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,https://www.changeway.com.cn/question/8289.html,changeway.com.cn,https://www.changeway.com.cn/question/8289.html,json.followup_response.links,,,A,其他来源,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,http://www.changeway.com.cn/aboutus/honor2.html,changeway.com.cn,http://www.changeway.com.cn/aboutus/honor2.html,json.followup_response.links,,,A,其他来源,,json_link
20260626,豆包,问题2,推荐好的ITIL培训机构,https://www.changeway.com.cn/itil/,changeway.com.cn,https://www.changeway.com.cn/itil/,json.followup_response.links,,,A,其他来源,,json_link
20260627,千问,问题2,推荐好的ITIL培训机构,清晖简介-清晖项目管理培训,changeway.com.cn,https://www.changeway.com.cn,追加追问,清晖项目管理培训,机构推荐佐证,A,其他来源,在源中可见,markdown_table
20260627,豆包,问题2,推荐好的ITIL培训机构,changeway.com.cn,changeway.com.cn,https://changeway.com.cn,json.followup_response.links,,,A,其他来源,,json_link
20260627,豆包,问题2,推荐好的ITIL培训机构,https://www.changeway.com.cn/question/8289.html,changeway.com.cn,https://www.changeway.com.cn/question/8289.html,json.followup_response.links,,,A,其他来源,,json_link
20260627,豆包,问题2,推荐好的ITIL培训机构,https://www.changeway.com.cn/itil/,changeway.com.cn,https://www.changeway.com.cn/itil/,json.followup_response.links,,,A,其他来源,,json_link
20260627,智谱清言,问题2,推荐好的ITIL培训机构,changeway.com.cn,changeway.com.cn,,原始回答直接可见,清晖,机构推荐佐证,B,其他来源,在源中可见,markdown_table
20260701,豆包,问题1,推荐好的ITIL讲师,为什么 ITIL 4 被称为“IT 界 MBA”?,changeway.com.cn,https://www.changeway.com.cn/question/8646.html,追加追问,Mike,讲师推荐佐证,A,其他来源,在源中可见,markdown_table
20260701,豆包,问题2,推荐好的ITIL培训机构,上海清晖_清晖项目管理_清晖培训_清晖在线,changeway.com.cn,https://www.changeway.com.cn/aboutus/about.html,追加追问,清晖项目管理,机构推荐佐证,A,其他来源,在源中可见,markdown_table
20260701,智谱清言,问题2,推荐好的ITIL培训机构,原始回答域名片段：changeway.com.cn +1 / keedu.cn,changeway.com.cn,,原始回答直接可见,清晖项目管理,机构推荐佐证,B,其他来源,在源中可见,markdown_table
20260627,智谱清言,问题1,推荐好的ITIL讲师,china.com +2,china.com,,原始回答直接可见,孙振鹏,讲师推荐佐证,B,其他来源,在源中可见,markdown_table
20260624,智谱清言,问题1,推荐好的ITIL讲师,页面仅暴露域名，未暴露标题,china-cas.org,,原始回答正文脚注/来源标记,王旭,,B,其他来源,,markdown_table
20260627,智谱清言,问题1,推荐好的ITIL讲师,china-cas.org +1,china-cas.org,,原始回答直接可见,王旭,讲师推荐佐证,B,其他来源,在源中可见,markdown_table
20260701,智谱清言,问题1,推荐好的ITIL讲师,原始回答域名片段：china-cas.org +1,china-cas.org,,原始回答直接可见,王旭,讲师推荐佐证,B,其他来源,在源中可见,markdown_table
20260626,Kimi,问题2,推荐好的ITIL培训机构,https://www.chinaitol.com/,chinaitol.com,https://www.chinaitol.com/,json.followup_response.links,,,A,其他来源,,json_link
20260624,豆包,问题1,推荐好的ITIL讲师,cnpmi.com,cnpmi.com,http://www.cnpmi.com/lizhiPhone/3g/index.php?p=about&lanmu=1,正文/原始回答可见 URL,,,A,官方/认证体系,,markdown_inline_url
20260624,豆包,问题1,推荐好的ITIL讲师,cnpmi.com,cnpmi.com,http://www.cnpmi.com/lizhiPhone/3g/index.php?p=case_show&id=25&lanmu=3&c_id=3,正文/原始回答可见 URL,,,A,官方/认证体系,,markdown_inline_url
20260627,智谱清言,问题1,推荐好的ITIL讲师,csdn.net +1,csdn.net,,原始回答直接可见,通过率/保过风险提醒,背景资料,B,问答/论坛/博客,在源中可见,markdown_table
20260624,豆包,问题1,推荐好的ITIL讲师,cspm.china-cas.org,cspm.china-cas.org,https://cspm.china-cas.org/sqjs/1406.jhtml,正文/原始回答可见 URL,,,A,机构官网/课程页,,markdown_inline_url
20260624,DeepSeek,问题1,推荐好的ITIL讲师,【梁育刚】英语怎么说_在线翻译_有道词典,dict.so.163.com,https://dict.so.163.com/w/eng/%e6%a2%81%e8%82%b2%e5%88%9a/#eBaike,追加追问第 1 轮,梁育刚,,A,其他来源,,markdown_table
20260624,豆包,问题2,推荐好的ITIL培训机构,doc88.com,doc88.com,https://m.doc88.com/p-73474640057.html,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260624,DeepSeek,问题2,推荐好的ITIL培训机构,惠普IT管理学院：为学员找合适的云计算,doit.com.cn,https://www.doit.com.cn/p/120804.html,追加追问第 1 轮,惠普IT管理学院（佐证实战与行业影响力）,,A,其他来源,,markdown_table
